Corporate Decisions,96-23,Applications from The Palmer National Bank Washington D.C. to relocate its main office to Bethesda Maryland and to establish a branch at the former main office location (Control Numbers 96NE070014 & 96NE050042),05-02-1996,http://www.occ.gov/static/interpretations-and-precedents/june/corpde23.pdf
Corporate Decisions,96-24,Applications from MidAmerica Bank National Association Moline Illinois to relocate its head office to Davenport Iowa establish a branch at its former head office site and to retain the Cairo Illinois branch site (Control Numbers 96CE070004 & 96CE050040),05-06-1996,http://www.occ.gov/static/interpretations-and-precedents/june/corpde24.pdf
Corporate Decisions,96-25,Application to purchase the assets and assume the liabilities of the International Falls branch of Inter Savings Bank fsb Bloomington Minnesota by Northern National Bank International Falls Minnesota under the charter and title of Northern National Bank (Control Numbers 96MW020010),05/16/96,http://www.occ.gov/static/interpretations-and-precedents/june/corpde25.pdf
Corporate Decisions,96-26,Application to purchase the assets and assume the liabilities of the Greenfield Iowa branch of Boatmen's Bank Iowa National Association Des Moines Iowa by First National Bank Fontanelle Iowa under the charter and title of First National Bank Fontanelle Iowa (Control Number 96MW020009),05/16/96,http://www.occ.gov/static/interpretations-and-precedents/june/corpde26.pdf
Corporate Decisions,96-27,Application of First Union National Bank Elkton Maryland to relocate its main office to Avondale Pennsylvania (Control Number 96ML070011),05/20/96,http://www.occ.gov/static/interpretations-and-precedents/june/corpde27.pdf
Corporate Decisions,96-28,Application to merge Republic Bank California National Association Beverly Hills California with and into Republic National Bank of New York New York New York (Control Number 96NE020017),05/20/96,http://www.occ.gov/static/interpretations-and-precedents/june/corpde28.pdf
Corporate Decisions,96-29,Applications to merge First Interstate Bank of Alaska N.A. Anchorage Alaska First Interstate Bank of Idaho N.A. Boise Idaho First Interstate Bank of Nevada N.A. Las Vegas Nevada First Interstate Bank of New Mexico Santa Fe New Mexico First Interstate Bank of Oregon N.A Portland Oregon and First Interstate Bank of Utah N.A. Salt Lake City Utah with and into Wells Fargo Bank N.A. San Francisco California (Control Numbers 96ML020015 & 96ML020018 through 0022),06-01-1996,http://www.occ.gov/static/interpretations-and-precedents/june/corpde29.pdf
Corporate Decisions,96-30,Application to merge First Interstate Bank of Washington N.A. Seattle Washington with and into Wells Fargo Bank N.A. San Francisco California (Control Number 96ML020023),06-06-1996,http://www.occ.gov/static/interpretations-and-precedents/june/corpde30.pdf
Corporate Decisions,96-31,Application to merge First Security Bank of Idaho N.A. Boise Idaho with and into First Security Bank of Uta N.A. Ogden Utah under the charter of the latter and with the title First Security Bank National Association (Control Number 96WE020010),06-12-1996,http://www.occ.gov/static/interpretations-and-precedents/june/corpde31.pdf
Corporate Decisions,96-32,Applications of KeyBank National Association Angola Indiana to change its location to Bryan Ohio establish a branch at the former head office site and to merge with and into Society National Bank Cleveland Ohio under the charter of Society and with the title of KeyBank National Association (Control Numbers 96CE070001 96CE050027 & 96CE020008),06/14/96,http://www.occ.gov/static/interpretations-and-precedents/june/corpde32.pdf
Approvals with conditions enforceable under 12 U.S.C. 1818,203,NationsBank N.A. Charlotte North Carolina notification to establish an operating subsidiary to engage in certain derivatives activities (Control Number 96WO80005),05-10-1996,http://www.occ.gov/static/interpretations-and-precedents/june/conap203.pdf
Approvals with conditions enforceable under 12 U.S.C. 1818,204,Application to merge Meridian Bank Reading Pennsylvania with and into CoreStates Bank National Association Philadelphia Pennsylvania under the charter and title of the latter (Control Number 96NE020014),05/15/96,http://www.occ.gov/static/interpretations-and-precedents/june/conap204.pdf
Interpretive Letters,101-505,Applications of KeyBank National Association Angola Indiana to change its location to Bryan Ohio establish a branch at the former head office site and to merge with and into Society National Bank Cleveland Ohio under the charter of Society and with the title of KeyBank National Association (Control Numbers 96CE070001 96CE050027 & 96CE020008),06/14/96,http://www.occ.gov/static/interpretations-and-precedents/june/corpde32.pdf
Interpretive Letters,202-565,Applications of KeyBank National Association Angola Indiana to change its location to Bryan Ohio establish a branch at the former head office site and to merge with and into Society National Bank Cleveland Ohio under the charter of Society and with the title of KeyBank National Association (Control Numbers 96CE070001 96CE050027 & 96CE020008),06/14/96,http://www.occ.gov/static/interpretations-and-precedents/june/corpde32.pdf
